Bulan,Total_Penjualan,Jumlah_Transaksi,Rata2_Omzet_per_Transaksi,Bulan_Index
2025-03,134450000,73,1841780.8219178081,1
2025-04,167650000,79,2122151.898734177,2
2025-05,133900000,65,2060000.0,3
2025-06,125950000,64,1967968.75,4
